targetId,bid
279458055830261,0.6
153626596010702,0.55
252563744525686,0.6
33373671044123,1.36
132552134109519,0.89
144955266086238,0.85
88380081669089,0.38
164298432133472,0.54
258833102228241,0.56
33827687747273,0.16
236332376657854,0.75
28017933623312,0.15000000000000002
158759681164747,0.12
150096646481914,0.84
143674609639939,0.93
250189432823867,0.39
10288089682161,0.64
124630815648280,0.45
229582457134284,0.16
21415836539250,0.38
21453236618677,0.38
22436624920292,0.38
22676474350068,0.38
26801117716473,0.38
28079541345800,0.38
31385569528318,0.22
32312436168873,0.72
35285153989247,0.83
35562807411953,0.22
35563967267789,0.38
35874117666285,0.38
36786835831506,0.83
38368398029589,0.38
38944288603926,0.38
42718225136108,0.38
44198888828030,0.38
45808557354116,0.38
47659319853458,0.83
49949796834373,0.38
51960284716957,0.83
57760406100463,0.38
59554992653382,0.72
60127092811402,0.38
60847646548145,0.83
63801262336583,0.38
1287511868332,0.19
2509878727045,0.38
3135362068520,0.38
3149176666292,0.38
3712448311381,0.38
9410197319557,0.72
9463852617510,0.83
12191561593849,0.38
14956822912880,0.38
15437313342299,0.38
16114703693486,0.38
239218223907381,0.38
239795281043902,0.38
242148331980347,0.38
242390402009824,0.83
242959699960321,0.38
244195136878932,0.38
244464113496011,0.38
244478504845697,0.83
244978109296045,0.72
245581749455578,0.83
246729486891638,0.38
247455321812007,0.38
247632846527528,0.22
247713619064389,0.22
249496687498074,0.38
249704872558621,0.38
250717412039134,0.38
253001857818971,0.38
253048432901267,0.22
255523228930217,0.38
257426950679449,0.38
258300200770837,0.17
262609215041158,0.38
264023797812275,0.38
265337556693914,0.38
266040364716493,0.38
266695060120394,0.38
269315239317932,0.38
269489812497438,0.83
270429706998117,0.22
270873723796129,0.83
274562381625481,0.38
276534221654057,0.38
276901756731530,0.38
279245859054748,0.38
279433261852140,0.35000000000000003
280075192977314,0.38
68267133141151,0.83
70021103681277,0.22
72331064572415,0.72
73197150105716,0.38
74647830842952,0.38
76432460457591,0.38
77413632195416,0.38
78411303343303,0.38
79526700532287,0.38
80306106440957,0.22
80920822718739,0.38
81105561087265,0.38
83253487969725,0.38
85001356236643,0.38
90371747723492,0.38
91823933987230,0.22
93329498847342,0.38
93816324292022,0.38
95110670724937,0.38
96186688930715,0.38
96244986151618,0.38
96920397138022,0.38
100848061338190,0.22
102737057677753,0.72
104393769448669,0.38
107137382222904,0.38
109677539989676,0.38
112049130619076,0.38
115987279133738,0.83
116813122485360,0.38
117557155139827,0.72
121311619775426,0.38
121628887681378,0.38
121864064470650,0.38
124361107862847,0.38
125340821494674,0.38
128391739804727,0.38
128824715021481,0.38
129148961516079,0.38
129292093363398,0.38
133288325206014,0.38
134828472509207,0.38
140928757580908,0.38
144827007567408,0.11
146701342346536,0.38
146955035096130,0.22
149795899563666,0.38
150625028547990,0.83
150697082711823,0.38
152234145096851,0.38
152723649390056,0.38
156420039526883,0.38
157161734891678,0.38
157957931003235,0.38
160251018841327,0.38
160652776282290,0.72
161104205219119,0.38
