id,created_at,updated_at,campaign_id,date,report_type,impressions,clicks,spend,sales,orders,kenp_royalties,placement,ad_id,ad_group_id,ad_group_name,target_id,keyword_text,query,match_type,asin,keyword_id,target_expression,target_text,target_type,units_sold_14d,attributed_conversions_30d
73098041,2023-02-06 02:37:42.701417+00:00,2023-02-06 12:37:11.403072+00:00,26357,2023-02-05,targets,3,0,0.00,0.00,0,0,,1,74072123893935,T40MBSITW-SP-Broad-Research-2-B0B5KK1JM5-Paperback,31397002701964,activities for seniors,,broad,,0,,,,0,0
73262000,2023-02-06 12:37:31.000014+00:00,2023-02-06 12:37:31.000037+00:00,85273,2023-02-05,targets,1,0,0.00,0.00,0,0,,1,24989137171115,T4CCAITW-SP-Exact-Scale-Single-19-B0BRZ2WQ2Y-Paperback,220297495662078,gifts for dementia patients men,,exact,,0,,,,0,0
73100880,2023-02-06 02:38:04.075114+00:00,2023-02-06 12:37:39.417104+00:00,69865,2023-02-05,targets,236,0,0.00,0.00,0,0,,1,280575340360625,T4CCIC-SP-Broad-Research-Single-1-B0BQ5CCQCK-Paperback,64879849868393,senior dementia,,broad,,0,,,,0,0
73099327,2023-02-06 02:37:52.082398+00:00,2023-02-06 12:37:24.231949+00:00,85394,2023-02-05,targets,1,0,0.00,0.00,0,0,,1,240941499463017,T4MAFITW-SP-Exact-Scale-Single-20-B0BRYY2123-Paperback,121628887681378,activities for seniors,,exact,,0,,,,0,0
73100876,2023-02-06 02:38:04.045553+00:00,2023-02-06 12:37:39.384461+00:00,31385,2023-02-05,targets,17,0,0.00,0.00,0,0,,1,105011991845485,T40MBRITW-SP-Exact-Scale-B0B7QP8PGW-Paperback,11593203116211,picture books,,exact,,0,,,,0,0
73098027,2023-02-06 02:37:42.612846+00:00,2023-02-06 12:37:11.284819+00:00,20302,2023-02-05,targets,13,0,0.00,0.00,0,0,,1,50262924713488,HTSGWKI-SP-Exact-Scale-Single-6-B086LD7R2R-Paperback,237644113301048,ikigai journal,,exact,,0,,,,0,0
73260855,2023-02-06 12:36:49.437855+00:00,2023-02-06 12:36:49.437877+00:00,58991,2023-02-05,targets,4,0,0.00,0.00,0,0,,1,55527116423807,NTNLTS-SP-Exact-Scale-Single-14-B0BL52NN8M-Paperback,270873723796129,social emotional learning for kids,,exact,,0,,,,0,0
73100139,2023-02-06 02:37:58.504792+00:00,2023-02-06 12:37:32.133078+00:00,31542,2023-02-05,targets,1,0,0.00,0.00,0,0,,1,6454779012454,T40MBCCITW-SP-Broad-Research-1-B0B7QDFVBW-Paperback,258300200770837,books seniors,,broad,,0,,,,0,0
73100140,2023-02-06 02:37:58.512079+00:00,2023-02-06 12:37:32.142546+00:00,31542,2023-02-05,targets,1,0,0.00,0.00,0,0,,1,6454779012454,T40MBCCITW-SP-Broad-Research-1-B0B7QDFVBW-Paperback,250400915518758,dementia and alzheimers,,broad,,0,,,,0,0
73100603,2023-02-06 02:38:02.141872+00:00,2023-02-06 12:37:36.731224+00:00,69827,2023-02-05,targets,69,1,0.57,0.00,0,0,,1,266388318574376,T4MBCBITW-SP-Exact-Scale-Single-2-B0BQ5243N4-Paperback,174371755023168,alzheimers activities,,exact,,0,,,,0,0
73098040,2023-02-06 02:37:42.694857+00:00,2023-02-06 02:37:42.694887+00:00,26357,2023-02-05,targets,1,0,0.00,0.00,0,0,,1,74072123893935,T40MBSITW-SP-Broad-Research-2-B0B5KK1JM5-Paperback,238376204200903,dementia books,,broad,,0,,,,0,0
